sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,58.8,sexual assault/treatment pathway/8.b,Sexual Assault,treatment pathway,8.b,Leave all sheets placed in paper bag with patient at facility.,1.0,sexual assault/treatment pathway/8.b,Leave all sheets placed in paper bag with patient at facility.,,,
S002,T1_id_exact,58.8,preamble/notes/1.d#3,<preamble>,notes,1.d,Elevate the extremity after bolus when given IV. BLS/ALS State of Tennessee EMS Protocol Guidelines 2024-2025,1.0,preamble/notes/1.d#3,Elevate the extremity after bolus when given IV. BLS/ALS State of Tennessee EMS Protocol Guidelines 2024-2025,,,
S003,T1_id_exact,58.8,pre-eclampsia and eclampsia/miscellaneous/1#4,Pre-eclampsia and Eclampsia,miscellaneous,1,Utilize the mini-mental status exam on any patient where you have concerns regarding the decision-making capacity of the patient.,1.0,pre-eclampsia and eclampsia/miscellaneous/1#4,Utilize the mini-mental status exam on any patient where you have concerns regarding the decision-making capacity of the patient.,,,
S004,T1_id_exact,58.8,venomous snake bite/notes/9,Venomous Snake Bite,notes,9,EKG Monitor. Assess and treat arrythmias.,1.0,venomous snake bite/notes/9,EKG Monitor. Assess and treat arrythmias.,,,
S005,T1_id_exact,58.8,delirium with hyperagitation/procedure/8#2,Delirium with HyperAgitation,procedure,8,"In the pulseless patient, an ETCO2 waveform with an ETCO2 value > 10 mmHg may be utilized to confirm the adequacy of an airway to include BVM and advanced devices when SpO2 will not register. PARAMEDIC and AEMT ONLY BLS/ALS State of Tennessee Protocol Guidelines 2024-2025",1.0,delirium with hyperagitation/procedure/8#2,"In the pulseless patient, an ETCO2 waveform with an ETCO2 value > 10 mmHg may be utilized to confirm the adequacy of an airway to include BVM and advanced devices when SpO2 will not register. PARAMEDIC and AEMT ONLY BLS/ALS State of Tennessee Protocol Guidelines 2024-2025",,,
S006,T1_id_exact,58.8,post resuscitation/notes/1,Post Resuscitation,notes,1,Oxygen and airway maintenance appropriate for patient’s condition.,1.0,post resuscitation/notes/1,Oxygen and airway maintenance appropriate for patient’s condition.,,,
S007,T1_id_exact,58.8,pre-eclampsia and eclampsia/miscellaneous/6.a#2,Pre-eclampsia and Eclampsia,miscellaneous,6.a,State approved forms.,1.0,pre-eclampsia and eclampsia/miscellaneous/6.a#2,State approved forms.,,,
S008,T1_id_exact,58.8,vascular access/reference/2#11,Vascular Access,reference,2,Description / location of patient on arrival,1.0,vascular access/reference/2#11,Description / location of patient on arrival,,,
S009,T1_id_exact,58.8,delirium with hyperagitation/paramedic only/3,Delirium with HyperAgitation,paramedic only,3,3ml Sodium Bicarb in 2ml NS nebulized for severe respiratory distress.  DO NOT MIX WITH BRONCHODILATOR. BLS/ALS State of Tennessee Protocol Guidelines 2024-2025,1.0,delirium with hyperagitation/paramedic only/3,3ml Sodium Bicarb in 2ml NS nebulized for severe respiratory distress.  DO NOT MIX WITH BRONCHODILATOR. BLS/ALS State of Tennessee Protocol Guidelines 2024-2025,,,
S010,T1_id_exact,58.8,delirium with hyperagitation/respiratory/5#2,Delirium with HyperAgitation,respiratory,5,Seizure,1.0,delirium with hyperagitation/respiratory/5#2,Seizure,,,
S011,T1_id_exact,58.8,delirium with hyperagitation/paramedic only/8,Delirium with HyperAgitation,paramedic only,8,"Tetracaine ophthalmic solution, 2 drops in each affected eye.",1.0,delirium with hyperagitation/paramedic only/8,"Tetracaine ophthalmic solution, 2 drops in each affected eye.",,,
S012,T1_id_exact,58.8,delirium with hyperagitation/procedure/7#8,Delirium with HyperAgitation,procedure,7,Include tourniquet use in your report to the trauma center as soon as practical.,1.0,delirium with hyperagitation/procedure/7#8,Include tourniquet use in your report to the trauma center as soon as practical.,,,
S013,T1_id_exact,58.8,delirium with hyperagitation/paramedic only/3#4,Delirium with HyperAgitation,paramedic only,3,"Cyanotic, cold (Arsenic)",1.0,delirium with hyperagitation/paramedic only/3#4,"Cyanotic, cold (Arsenic)",,,
S014,T1_id_exact,58.8,delirium with hyperagitation/paramedic only/2#4,Delirium with HyperAgitation,paramedic only,2,Ocular edema Skin:,1.0,delirium with hyperagitation/paramedic only/2#4,Ocular edema Skin:,,,
S015,T1_id_exact,58.8,pain management protocol/notes/1,Pain Management Protocol,notes,1,Initiate IV Access.,1.0,pain management protocol/notes/1,Initiate IV Access.,,,
S016,T1_id_exact,58.8,major thermal burns/hypotension/2.b,Major Thermal Burns,hypotension,2.b,Be prepared to assist ventilation with BVM,1.0,major thermal burns/hypotension/2.b,Be prepared to assist ventilation with BVM,,,
S017,T1_id_exact,58.8,delirium with hyperagitation/treatment-standing order/7#3,Delirium with HyperAgitation,treatment-standing order,7,"Tetracaine, 2 drops each eye after flushing for eye exposure.",1.0,delirium with hyperagitation/treatment-standing order/7#3,"Tetracaine, 2 drops each eye after flushing for eye exposure.",,,
S018,T1_id_exact,58.8,nerve agent exposure/aemt stop here/7,Nerve Agent Exposure,aemt stop here,7,EKG monitoring for arrythmias,1.0,nerve agent exposure/aemt stop here/7,EKG monitoring for arrythmias,,,
S019,T1_id_exact,58.8,pre-eclampsia and eclampsia/miscellaneous/9,Pre-eclampsia and Eclampsia,miscellaneous,9,"Lower extremity, pelvis trauma.",1.0,pre-eclampsia and eclampsia/miscellaneous/9,"Lower extremity, pelvis trauma.",,,
S020,T1_id_exact,58.8,delirium with hyperagitation/respiratory/4#2,Delirium with HyperAgitation,respiratory,4,Pulmonary edema,1.0,delirium with hyperagitation/respiratory/4#2,Pulmonary edema,,,
S021,T1_id_exact,58.8,normal delivery/treatment pathway/6,Normal Delivery,treatment pathway,6,"Dry infant and wrap to keep warm, maintain airway.",1.0,normal delivery/treatment pathway/6,"Dry infant and wrap to keep warm, maintain airway.",,,
S022,T1_id_exact,58.8,delirium with hyperagitation/respiratory/7#2,Delirium with HyperAgitation,respiratory,7,Coma,1.0,delirium with hyperagitation/respiratory/7#2,Coma,,,
S023,T1_id_exact,58.8,delirium with hyperagitation/respiratory/2#9,Delirium with HyperAgitation,respiratory,2,Lethargy,1.0,delirium with hyperagitation/respiratory/2#9,Lethargy,,,
S024,T1_id_exact,58.8,premature ventricular complexes/treatment pathway/3,Premature Ventricular Complexes,treatment pathway,3,Pulse Oximetry.,1.0,premature ventricular complexes/treatment pathway/3,Pulse Oximetry.,,,
S025,T1_id_exact,58.8,nerve agent exposure/aemt stop here/8.c,Nerve Agent Exposure,aemt stop here,8.c,Midazolam (Versed) IN 0.3 mg/kg IN (max single dose 10 mg) with maximum total dose of 0.4 mg/kg.,1.0,nerve agent exposure/aemt stop here/8.c,Midazolam (Versed) IN 0.3 mg/kg IN (max single dose 10 mg) with maximum total dose of 0.4 mg/kg.,,,
S026,T1_id_exact,58.8,delirium with hyperagitation/indications/2.c,Delirium with HyperAgitation,indications,2.c,Hemodynamically unstable (Systolic BP < 90).,1.0,delirium with hyperagitation/indications/2.c,Hemodynamically unstable (Systolic BP < 90).,,,
