sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,1.0,hypothermia/notes/o,Hypothermia,notes,o,"Heat packs or warm water bottles to the groin, axillary, and cervical areas If patient is unresponsive, rewarm passively:",1.0,hypothermia/notes/o,"Heat packs or warm water bottles to the groin, axillary, and cervical areas If patient is unresponsive, rewarm passively:",,,
S002,T1_id_exact,1.0,hypothermia/notes/o#2,Hypothermia,notes,o,"Increase the room temperature gradually, cover with blankets The following signs and symptoms are found at varying body core temperature:",1.0,hypothermia/notes/o#2,"Increase the room temperature gradually, cover with blankets The following signs and symptoms are found at varying body core temperature:",,,
S003,T1_id_exact,1.0,hypothermia/notes/o#3,Hypothermia,notes,o,"95°F – amnesia, poor judgment, hyperventilation, bradycardia, shivering",1.0,hypothermia/notes/o#3,"95°F – amnesia, poor judgment, hyperventilation, bradycardia, shivering",,,
S004,T1_id_exact,1.0,hypothermia/notes/o#4,Hypothermia,notes,o,"90°F – loss of coordination (drunken appearance), decreasing rate and depth of respirations, shivering ceases or bradycardia",1.0,hypothermia/notes/o#4,"90°F – loss of coordination (drunken appearance), decreasing rate and depth of respirations, shivering ceases or bradycardia",,,
S005,T1_id_exact,1.0,hypothermia/notes/o#5,Hypothermia,notes,o,"85°F – decreased LOC, slow respirations, atrial fibrillation, decreased BP, decreased heart rate, ventricular irritability",1.0,hypothermia/notes/o#5,"85°F – decreased LOC, slow respirations, atrial fibrillation, decreased BP, decreased heart rate, ventricular irritability",,,
S006,T1_id_exact,1.0,adult trauma arrest blunt/treatment pathway/o,Adult Trauma Arrest (Blunt),treatment pathway,o,Apnea,1.0,adult trauma arrest blunt/treatment pathway/o,Apnea,,,
S007,T1_id_exact,1.0,adult trauma arrest blunt/treatment pathway/o#2,Adult Trauma Arrest (Blunt),treatment pathway,o,Pulselessness,1.0,adult trauma arrest blunt/treatment pathway/o#2,Pulselessness,,,
S008,T1_id_exact,1.0,adult trauma arrest blunt/treatment pathway/o#3,Adult Trauma Arrest (Blunt),treatment pathway,o,"Asystole or PEA <40 If patient does not meet all the above criteria, Initiate resuscitation per protocol. Consider chest decompression in these patients prior to discontinuing resuscitative efforts.",1.0,adult trauma arrest blunt/treatment pathway/o#3,"Asystole or PEA <40 If patient does not meet all the above criteria, Initiate resuscitation per protocol. Consider chest decompression in these patients prior to discontinuing resuscitative efforts.",,,
S009,T1_id_exact,1.0,adult trauma arrest penetrating/treatment pathway/o,Adult Trauma Arrest (Penetrating),treatment pathway,o,Apnea,1.0,adult trauma arrest penetrating/treatment pathway/o,Apnea,,,
S010,T1_id_exact,1.0,adult trauma arrest penetrating/treatment pathway/o#2,Adult Trauma Arrest (Penetrating),treatment pathway,o,Pulselessness,1.0,adult trauma arrest penetrating/treatment pathway/o#2,Pulselessness,,,
S011,T1_id_exact,1.0,adult trauma arrest penetrating/treatment pathway/o#3,Adult Trauma Arrest (Penetrating),treatment pathway,o,Asystole or PEA <40,1.0,adult trauma arrest penetrating/treatment pathway/o#3,Asystole or PEA <40,,,
S012,T1_id_exact,1.0,adult trauma arrest penetrating/treatment pathway/o#4,Adult Trauma Arrest (Penetrating),treatment pathway,o,Absence of Pupillary Reflexes,1.0,adult trauma arrest penetrating/treatment pathway/o#4,Absence of Pupillary Reflexes,,,
S013,T1_id_exact,1.0,adult trauma arrest penetrating/treatment pathway/o#5,Adult Trauma Arrest (Penetrating),treatment pathway,o,"No Spontaneous movements If patient does not meet all the above criteria, Initiate resuscitation per protocol.",1.0,adult trauma arrest penetrating/treatment pathway/o#5,"No Spontaneous movements If patient does not meet all the above criteria, Initiate resuscitation per protocol.",,,
