sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S001,soft tissue / crush injuries/hypotension/3,Soft Tissue / Crush Injuries,hypotension,3,Control any life-threatening hemorrhaging,,,
S002,new onset atrial fibrillation and flutter/assessment/2,New Onset Atrial Fibrillation and Flutter,assessment,2,Supportive care,,,
S003,pediatric cardiac emergency neonatal resuscitation/contraindications/1#2,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,contraindications,1,Assemble supplies,,,
S004,hypertensive crisis/emt stop/4,Hypertensive Crisis,emt stop,4,Glucose check,,,
S005,hyperthermia/notes/o#6,Hyperthermia,notes,o,"Anticholinergic drugs such as: Atropine, Congentin, Scopolamine",,,
S006,reference pulse oximetry/reference/6,REFERENCE Pulse Oximetry,reference,6,LMP if applicable,,,
S007,reference pulse oximetry/reference/6#11,REFERENCE Pulse Oximetry,reference,6,Treatments/reassessments,,,
S008,reference pulse oximetry/reference/2#15,REFERENCE Pulse Oximetry,reference,2,Nausea/vomiting,,,
S009,reference pulse oximetry/reference/2#12,REFERENCE Pulse Oximetry,reference,2,Dyspnea,,,
S010,reference pulse oximetry/reference/2#22,REFERENCE Pulse Oximetry,reference,2,"Obvious injures (mouth, head, tongue)",,,
S011,reference pulse oximetry/reference/3#21,REFERENCE Pulse Oximetry,reference,3,"Membranes ruptured – if yes, is amniotic fluid clear?",,,
S012,prolapsed umbilical cord/emr stop/5,Prolapsed Umbilical Cord,emr stop,5,"Instruct mother to pant with each contraction, which will prevent her from bearing down",,,
S013,family violence/assessment/4#2,Family Violence,assessment,4,"If sexual assault, follow sexual assault protocol",,,
S014,pediatric cardiac emergency neonatal resuscitation/procedure/4#8,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,procedure,4,Note time of tourniquet application and communicate this to receiving care providers,,,
S015,reference pulse oximetry/reference/6#9,REFERENCE Pulse Oximetry,reference,6,Chest pain/dyspnea,,,
S016,hypoglycemia/glucose/8,Hypoglycemia,glucose,8,"If unable to establish IV access, Glucagon 1-2 mg IM (peds – Glucagon 0.5 mg/dose IM/IV if <20 kg, or 1 mg/dose IM/IV if 20 kg or greater.)",,,
