sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,79.6,soft tissue / crush injuries/hypotension/3,Soft Tissue / Crush Injuries,hypotension,3,Control any life-threatening hemorrhaging,1.0,soft tissue / crush injuries/hypotension/3,Control any life-threatening hemorrhaging,,,
S002,T1_id_exact,79.6,new onset atrial fibrillation and flutter/assessment/2,New Onset Atrial Fibrillation and Flutter,assessment,2,Supportive care,1.0,new onset atrial fibrillation and flutter/assessment/2,Supportive care,,,
S003,T1_id_exact,79.6,pediatric cardiac emergency neonatal resuscitation/contraindications/1#2,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,contraindications,1,Assemble supplies,1.0,pediatric cardiac emergency neonatal resuscitation/contraindications/1#2,Assemble supplies,,,
S004,T1_id_exact,79.6,hypertensive crisis/emt stop/4,Hypertensive Crisis,emt stop,4,Glucose check,1.0,hypertensive crisis/emt stop/4,Glucose check,,,
S005,T1_id_exact,79.6,hyperthermia/notes/o#6,Hyperthermia,notes,o,"Anticholinergic drugs such as: Atropine, Congentin, Scopolamine",1.0,hyperthermia/notes/o#6,"Anticholinergic drugs such as: Atropine, Congentin, Scopolamine",,,
S006,T1_id_exact,79.6,reference pulse oximetry/reference/6,REFERENCE Pulse Oximetry,reference,6,LMP if applicable,1.0,reference pulse oximetry/reference/6,LMP if applicable,,,
S007,T1_id_exact,79.6,reference pulse oximetry/reference/6#11,REFERENCE Pulse Oximetry,reference,6,Treatments/reassessments,1.0,reference pulse oximetry/reference/6#11,Treatments/reassessments,,,
S008,T1_id_exact,79.6,reference pulse oximetry/reference/2#15,REFERENCE Pulse Oximetry,reference,2,Nausea/vomiting,1.0,reference pulse oximetry/reference/2#15,Nausea/vomiting,,,
S009,T1_id_exact,79.6,reference pulse oximetry/reference/2#12,REFERENCE Pulse Oximetry,reference,2,Dyspnea,1.0,reference pulse oximetry/reference/2#12,Dyspnea,,,
S010,T1_id_exact,79.6,reference pulse oximetry/reference/2#22,REFERENCE Pulse Oximetry,reference,2,"Obvious injures (mouth, head, tongue)",1.0,reference pulse oximetry/reference/2#22,"Obvious injures (mouth, head, tongue)",,,
S011,T1_id_exact,79.6,reference pulse oximetry/reference/3#21,REFERENCE Pulse Oximetry,reference,3,"Membranes ruptured – if yes, is amniotic fluid clear?",1.0,reference pulse oximetry/reference/3#21,"Membranes ruptured – if yes, is amniotic fluid clear?",,,
S012,T1_id_exact,79.6,prolapsed umbilical cord/emr stop/5,Prolapsed Umbilical Cord,emr stop,5,"Instruct mother to pant with each contraction, which will prevent her from bearing down",1.0,prolapsed umbilical cord/emr stop/5,"Instruct mother to pant with each contraction, which will prevent her from bearing down",,,
S013,T1_id_exact,79.6,family violence/assessment/4#2,Family Violence,assessment,4,"If sexual assault, follow sexual assault protocol",1.0,family violence/assessment/4#2,"If sexual assault, follow sexual assault protocol",,,
S014,T1_id_exact,79.6,pediatric cardiac emergency neonatal resuscitation/procedure/4#8,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,procedure,4,Note time of tourniquet application and communicate this to receiving care providers,1.0,pediatric cardiac emergency neonatal resuscitation/procedure/4#8,Note time of tourniquet application and communicate this to receiving care providers,,,
S015,T1_id_exact,79.6,reference pulse oximetry/reference/6#9,REFERENCE Pulse Oximetry,reference,6,Chest pain/dyspnea,1.0,reference pulse oximetry/reference/6#9,Chest pain/dyspnea,,,
S016,T2_id_text_changed,19.6,hypoglycemia/glucose/8,Hypoglycemia,glucose,8,"If unable to establish IV access, Glucagon 1-2 mg IM (peds – Glucagon 0.5 mg/dose IM/IV if <20 kg, or 1 mg/dose IM/IV if 20 kg or greater.)",1.0,hypoglycemia/glucose/8,"If unable to establish IV access, consider Glucagon 1-2 mg IM (peds – Glucagon 0.5 mg/dose IM/IV if <20 kg, or 1 mg/dose IM/IV if 20 kg or greater.)",,,
S017,T2_id_text_changed,19.6,patient refusal or declination of care / patient non-transport situations/assessment/4#2,Patient Refusal or Declination of Care / Patient Non-Transport Situations,assessment,4,"Do not release minor on the scene without parent/guardian consent Reasons for Non-Transport Minor illness or injury and acceptable alternative transportation available No Patient Found on the Scene Definition:  No person found to have any complaint of injury/illness of any type or degree PCR is to be completed in detail as to why no patient was found, i.e.: no person found on scene, person located with no complaint of injury/illness and denies needing medical assistance. REFERENCE – Mini Mental Status Exam",1.0,patient refusal or declination of care / patient non-transport situations/assessment/4#2,"Do not release minor on the scene without parent/guardian consent Reasons for Non-Transport Minor illness or injury and acceptable alternative transportation available No Patient Found on the Scene Definition:  No person found to have any complaint of injury/illness of any type or degree PCR is to be completed in detail as to why no patient was found, i.e.: no person found on scene, person located with no complaint of injury/illness and denies needing medical assistance. TENNESSEE EMERGENCY MEDICAL SERVICES PROTOCOL GUIDELINES - (108) REFERENCE – Mini Mental Status Exam",,,
S018,T2_id_text_changed,19.6,patient refusal or declination of care / patient non-transport situations/aemt stop/4.b,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,4.b,"Versed: 2-5 mg IV/IM/IN/IO, repeat once",1.0,patient refusal or declination of care / patient non-transport situations/aemt stop/4.b,"Midazolam (Versed): 2-5 mg IV/IM/IN/IO, repeat once",,,
