sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S001,wide complex tachycardia pediatric/exclusion criteria/B,WIDE COMPLEX TACHYCARDIA – PEDIATRIC,exclusion criteria,B,Tachycardia due to shock – Follow Shock Protocol #7005.,,,
S002,crashing patient/ patient in extremis pediatric/exclusion criteria/B.1.c,CRASHING PATIENT/ PATIENT IN EXTREMIS – PEDIATRIC,exclusion criteria,B.1.c,"Administer NSS 20 mL/kg bolus, infused under pressure or by syringe infusion unless cardiogenic shock suspected 1) If suspected cardiogenic shock, administer 5-10 mL/kg NSS and Contact Medical Command.",,,
S003,altered level of consciousness - adult/criteria/A.3,ALTERED LEVEL OF CONSCIOUSNESS - ADULT,criteria,A.3,Suspected drug ingestion /overdose,,,
S004,volume control transport ventilator management statewide als protocol optional/exclusion criteria/C.5,VOLUME CONTROL TRANSPORT VENTILATOR MANAGEMENT STATEWIDE ALS PROTOCOL (OPTIONAL),exclusion criteria,C.5,ETCO2 < 35 mmHg for all patients.,,,
S005,post-resuscitation care/performance parameters/A.1,POST-RESUSCITATION CARE,performance parameters,A.1,"In patients with cardiac arrest, prehospital resuscitation is initiated with the goal of returning spontaneous circulation before permanent neurologic damage occurs. Unfortunately, most patients do not respond to an aggressive resuscitation attempt. In most situations ALS providers are capable of performing an initial resuscitation that is equivalent to an in-hospital resuscitation attempt, and there is usually no additional benefit to emergency department resuscitation in most cases.",,,
S006,nontraumatic pain management/exclusion criteria/D,NONTRAUMATIC PAIN MANAGEMENT,exclusion criteria,D,Pain from musculoskeletal trauma (Follow Musculoskeletal Trauma Protocol #6003),,,
S007,stroke/performance parameters/B.•#11,STROKE,performance parameters,B.•,Present (fixed or unable to shift gaze past midline) Aphasia Ask patient to follow 2 commands:,,,
S008,seizure/criteria/A.3,SEIZURE,criteria,A.3,seizures associated with hypoxia.,,,
S009,stroke/performance parameters/B.•#7,STROKE,performance parameters,B.•,Normal (no drift) to mild drift,,,
S010,poisoning/toxin exposure/exclusion criteria/A,POISONING/TOXIN EXPOSURE,exclusion criteria,A,Patient with altered level of consciousness (unless suspected carbon monoxide poisoning) - follow Altered Level of Consciousness Protocol #7002A or #7002P.,,,
S011,poisoning/toxin exposure/criteria/A.3.a,POISONING/TOXIN EXPOSURE,criteria,A.3.a,"For example, substances on skin or splashed into eyes.",,,
