sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,12.2258,ultrasound device use by paramedics/protocol/3,Ultrasound Device Use by Paramedics,protocol,3,Paramedic and service must document demonstrated hands-on procedure competency,1.0,ultrasound device use by paramedics/protocol/3,Paramedic and service must document demonstrated hands-on procedure competency,,,
S002,T1_id_exact,12.2258,behavioral emergencies adult & pediatric/protocol/17,Behavioral Emergencies – Adult & Pediatric,protocol,17,"Use restraints in accordance with Protocol 2.5 Behavioral Emergencies: Restraint if de-escalation strategy fails and the patient is a danger to him/herself or others. Acute risk factors for violence include: • Male gender • Homicidal or violent intent or plans • Intoxication or recent substance use • Actions taken on plans/threats • Unconcerned with consequences • No alternatives to violence seen • Intense fear, anger, or aggressive speech/behavior • Specified victim (consider proximity, likelihood of provocation) A P/ / Behavioral Emergencies Adult & Pediatric P ADULT STANDING ORDERS • Haloperidol 5 mg IM ONLY; and/or • Midazolam 5 mg IV/IO/IM and/or 10 mg IN • Ketamine 4 mg kg IM ONLY, to a maximum dose of 400 mg IM ONLY, as a single dose. NOTE: In patients >70 years of age, limit medication to half these doses. PEDIATRIC STANDING ORDERS • Midazolam 0.1 mg kg IV/IO/IM/IN, to maximum dose of 6 mg. Haloperidol is preferable for psychotic patients; but do not administer to patients with a history of seizures or prolonged QT intervals. Haloperidol should be administered by INTRAMUSCULAR injection ONLY PARAMEDIC STANDING ORDERS A E / EMT/ADVANCED EMT STANDING ORDERS • 1.0 Routine Patient Care • Position patient to ensure breathing is not impaired, especially if in soft extremity restraints. • If trained and authorized, under Protocol 6.9 Oral Antipsychotics administer olanzapine 10 mg ODT; or risperidone 2 mg ODT MEDICAL CONTROL MAY ORDER • Additional doses of above medications.",1.0,behavioral emergencies adult & pediatric/protocol/17,"Use restraints in accordance with Protocol 2.5 Behavioral Emergencies: Restraint if de-escalation strategy fails and the patient is a danger to him/herself or others. Acute risk factors for violence include: • Male gender • Homicidal or violent intent or plans • Intoxication or recent substance use • Actions taken on plans/threats • Unconcerned with consequences • No alternatives to violence seen • Intense fear, anger, or aggressive speech/behavior • Specified victim (consider proximity, likelihood of provocation) A P/ / Behavioral Emergencies Adult & Pediatric P ADULT STANDING ORDERS • Haloperidol 5 mg IM ONLY; and/or • Midazolam 5 mg IV/IO/IM and/or 10 mg IN • Ketamine 4 mg kg IM ONLY, to a maximum dose of 400 mg IM ONLY, as a single dose. NOTE: In patients >70 years of age, limit medication to half these doses. PEDIATRIC STANDING ORDERS • Midazolam 0.1 mg kg IV/IO/IM/IN, to maximum dose of 6 mg. Haloperidol is preferable for psychotic patients; but do not administer to patients with a history of seizures or prolonged QT intervals. Haloperidol should be administered by INTRAMUSCULAR injection ONLY PARAMEDIC STANDING ORDERS A E / EMT/ADVANCED EMT STANDING ORDERS • 1.0 Routine Patient Care • Position patient to ensure breathing is not impaired, especially if in soft extremity restraints. • If trained and authorized, under Protocol 6.9 Oral Antipsychotics administer olanzapine 10 mg ODT; or risperidone 2 mg ODT MEDICAL CONTROL MAY ORDER • Additional doses of above medications.",,,
S003,T1_id_exact,12.2258,medical orders for life sustaining treatment molst and comfort care/dnr/protocol/5,Medical Orders for Life Sustaining Treatment (MOLST) and Comfort Care/DNR,protocol,5,"Questions about the MOLST or CC/DNR:  If EMS personnel have any questions regarding the applicability of the MOLST or CC/DNR form with regard to any specific individual, or a good-faith basis to doubt the continued validity of the MOLST or CC/DNR form, EMS personnel shall verify with the patient if the patient is able to respond. If the patient cannot respond, EMS personnel shall provide full treatment and transport, or contact Medical Control for further orders. In all cases, EMS personnel shall document the circumstances on the trip record.",1.0,medical orders for life sustaining treatment molst and comfort care/dnr/protocol/5,"Questions about the MOLST or CC/DNR:  If EMS personnel have any questions regarding the applicability of the MOLST or CC/DNR form with regard to any specific individual, or a good-faith basis to doubt the continued validity of the MOLST or CC/DNR form, EMS personnel shall verify with the patient if the patient is able to respond. If the patient cannot respond, EMS personnel shall provide full treatment and transport, or contact Medical Control for further orders. In all cases, EMS personnel shall document the circumstances on the trip record.",,,
S004,T1_id_exact,12.2258,surgical cricothyrotomy/protocol/1#2,Surgical Cricothyrotomy,protocol,1,Affiliate Hospital Medical Director (AHMD) approval to participate.,1.0,surgical cricothyrotomy/protocol/1#2,Affiliate Hospital Medical Director (AHMD) approval to participate.,,,
S005,T1_id_exact,12.2258,urban search and rescue usar medical specialist/protocol/170.020..13,Urban Search and Rescue (USAR) Medical Specialist,protocol,170.020..13,Assess and manage the victim for any evidence of entrapment or crush injury. Refer to the USAR Crush Injury / Crush Syndrome management protocol.,1.0,urban search and rescue usar medical specialist/protocol/170.020..13,Assess and manage the victim for any evidence of entrapment or crush injury. Refer to the USAR Crush Injury / Crush Syndrome management protocol.,,,
S006,T1_id_exact,12.2258,spinal column/cord injuries adult & pediatric/protocol/2,Spinal Column/Cord Injuries – Adult & Pediatric,protocol,2,Assess for correct size and properly apply a cervical collar.,1.0,spinal column/cord injuries adult & pediatric/protocol/2,Assess for correct size and properly apply a cervical collar.,,,
S007,T1_id_exact,12.2258,withholding and cessation of resuscitation/protocol/I,Withholding and Cessation of Resuscitation,protocol,I,"Exceptions to Initiation of Resuscitation Other than in overriding circumstances such as a large mass-casualty incident or a hazardous scene, the following are the only exceptions to initiating and maintaining resuscitative measures in the field:",1.0,withholding and cessation of resuscitation/protocol/I,"Exceptions to Initiation of Resuscitation Other than in overriding circumstances such as a large mass-casualty incident or a hazardous scene, the following are the only exceptions to initiating and maintaining resuscitative measures in the field:",,,
S008,T1_id_exact,12.2258,withholding and cessation of resuscitation/protocol/I.2#3,Withholding and Cessation of Resuscitation,protocol,I.2,"In all cases where EMTs have withheld or ceased resuscitative efforts in accordance with the requirements above, and left the person in the field, procedures must include notification of appropriate medical or medico-legal authorities, such as police.",1.0,withholding and cessation of resuscitation/protocol/I.2#3,"In all cases where EMTs have withheld or ceased resuscitative efforts in accordance with the requirements above, and left the person in the field, procedures must include notification of appropriate medical or medico-legal authorities, such as police.",,,
S009,T1_id_exact,12.2258,ventricular assist devices vads/protocol/4,Ventricular Assist Devices (VADs),protocol,4,"LISTEN: Listen over the VAD pump location to make sure you can hear it running. This will be just to the left of the epigastrium, immediately below the base of the heart. You should hear a low hum with a stethoscope if the pump is running. Don’t assume the pump is running just because the control unit looks OK. The patient and their family are experts on this device. Listen to what they have to say about any problems with the VAD.",1.0,ventricular assist devices vads/protocol/4,"LISTEN: Listen over the VAD pump location to make sure you can hear it running. This will be just to the left of the epigastrium, immediately below the base of the heart. You should hear a low hum with a stethoscope if the pump is running. Don’t assume the pump is running just because the control unit looks OK. The patient and their family are experts on this device. Listen to what they have to say about any problems with the VAD.",,,
S010,T1_id_exact,12.2258,withholding and cessation of resuscitation/protocol/I.2#2,Withholding and Cessation of Resuscitation,protocol,I.2,"Paramedics only may cease resuscitative efforts, if properly training and authorized by your AHMD as per Protocol 6.4 Withholding and Cessation of Resuscitation by EMT Paramedic as a Medical Control Option. Special Considerations and Procedures: 1 a. If during transport, EMTs cease resuscitation of a patient in accordance with the requirements above, they shall continue to the closest appropriate hospital for pronouncement of death. This is always a special circumstance that is in the interest of public health and safety, and thus meets the requirements of 105 CMR 170.365. 1 b. During transports when resuscitative efforts have appropriately been ceased in accordance with the requirements above, EMTs must cover the person with a sheet, transport without the use of emergency vehicle audible and visual warning devices, and notify the receiving hospital in advance.",1.0,withholding and cessation of resuscitation/protocol/I.2#2,"Paramedics only may cease resuscitative efforts, if properly training and authorized by your AHMD as per Protocol 6.4 Withholding and Cessation of Resuscitation by EMT Paramedic as a Medical Control Option. Special Considerations and Procedures: 1 a. If during transport, EMTs cease resuscitation of a patient in accordance with the requirements above, they shall continue to the closest appropriate hospital for pronouncement of death. This is always a special circumstance that is in the interest of public health and safety, and thus meets the requirements of 105 CMR 170.365. 1 b. During transports when resuscitative efforts have appropriately been ceased in accordance with the requirements above, EMTs must cover the person with a sheet, transport without the use of emergency vehicle audible and visual warning devices, and notify the receiving hospital in advance.",,,
S011,T1_id_exact,12.2258,fire and tactical ems rehabilitation/protocol/1#4,Fire and Tactical EMS Rehabilitation,protocol,1,Consider moving to Medical Treatment area*,1.0,fire and tactical ems rehabilitation/protocol/1#4,Consider moving to Medical Treatment area*,,,
S012,T1_id_exact,12.2258,fire and tactical ems rehabilitation/protocol/3#3,Fire and Tactical EMS Rehabilitation,protocol,3,Initiate Rehab accountability card YES YES NO NO,1.0,fire and tactical ems rehabilitation/protocol/3#3,Initiate Rehab accountability card YES YES NO NO,,,
S013,T1_id_exact,12.2258,air medical transport/protocol/1.a,Air Medical Transport,protocol,1.a,Unstable Vital Signs,1.0,air medical transport/protocol/1.a,Unstable Vital Signs,,,
S014,T1_id_exact,12.2258,hazardous material response by ems/protocol/4,Hazardous Material Response by EMS,protocol,4,"If appropriate to do so, declare the incident as a Mass Casualty Incident (MCI and follow Protocol 8.2 MCI. Scene Assessment and Triage Priorities:",1.0,hazardous material response by ems/protocol/4,"If appropriate to do so, declare the incident as a Mass Casualty Incident (MCI and follow Protocol 8.2 MCI. Scene Assessment and Triage Priorities:",,,
S015,T1_id_exact,12.2258,needle cricothyrotomy/protocol/13,Needle Cricothyrotomy,protocol,13,Continue to observe lung inflations and auscultate the chest for adequate ventilation. P PARAMEDIC STANDING ORDERS,1.0,needle cricothyrotomy/protocol/13,Continue to observe lung inflations and auscultate the chest for adequate ventilation. P PARAMEDIC STANDING ORDERS,,,
S016,T1_id_exact,12.2258,refusal of medical care and transportation/protocol/3#4,Refusal of Medical Care and Transportation,protocol,3,Prepare and explain the refusal of medical care and ambulance transport document.,1.0,refusal of medical care and transportation/protocol/3#4,Prepare and explain the refusal of medical care and ambulance transport document.,,,
S017,T1_id_exact,12.2258,withholding and cessation of resuscitation/protocol/I.4.b.i,Withholding and Cessation of Resuscitation,protocol,I.4.b.i,Respirations are absent for at least 30 seconds; and,1.0,withholding and cessation of resuscitation/protocol/I.4.b.i,Respirations are absent for at least 30 seconds; and,,,
S018,T1_id_exact,12.2258,medical orders for life sustaining treatment molst and comfort care/dnr/protocol/2.d,Medical Orders for Life Sustaining Treatment (MOLST) and Comfort Care/DNR,protocol,2.d,"Health Care Agent with Documentation on Scene: If the patient’s activated health care agent is on scene with his/her health care proxy document in hand, the health care agent may change or revoke the patient’s MOLST form directions. EMS is not responsible to check the validity of the health care proxy document. If presented by a health care agent, they can assume it is valid.",1.0,medical orders for life sustaining treatment molst and comfort care/dnr/protocol/2.d,"Health Care Agent with Documentation on Scene: If the patient’s activated health care agent is on scene with his/her health care proxy document in hand, the health care agent may change or revoke the patient’s MOLST form directions. EMS is not responsible to check the validity of the health care proxy document. If presented by a health care agent, they can assume it is valid.",,,
S019,T1_id_exact,12.2258,fire and tactical ems rehabilitation/protocol/1#3,Fire and Tactical EMS Rehabilitation,protocol,1,Check into Rehab sector,1.0,fire and tactical ems rehabilitation/protocol/1#3,Check into Rehab sector,,,
S020,T1_id_exact,12.2258,fire and tactical ems rehabilitation/protocol/5#2,Fire and Tactical EMS Rehabilitation,protocol,5,Medically reassess every 5 minutes PHYSICAL SCREENING Mental Status-CAO x 3 Skin-warm and dry Vital signs-BP: Systolic <160 mm Hg or Diastolic <100 mm Hg Pulse: <130 bpm and regular O2 Sat: > 95% on environmental air Temperature: < 1010  F Respiratory Rate <26 Carbon Monoxide Assessment : <10% COHb YES YES YES YES YES NO Responder vital signs have returned to normal resting levels** Responder shows improvement of vital signs toward normal resting levels**,1.0,fire and tactical ems rehabilitation/protocol/5#2,Medically reassess every 5 minutes PHYSICAL SCREENING Mental Status-CAO x 3 Skin-warm and dry Vital signs-BP: Systolic <160 mm Hg or Diastolic <100 mm Hg Pulse: <130 bpm and regular O2 Sat: > 95% on environmental air Temperature: < 1010  F Respiratory Rate <26 Carbon Monoxide Assessment : <10% COHb YES YES YES YES YES NO Responder vital signs have returned to normal resting levels** Responder shows improvement of vital signs toward normal resting levels**,,,
S021,T1_id_exact,12.2258,sepsis pediatric/protocol/•#3,Sepsis – Pediatric,protocol,•,Monitor and maintain airway and breathing as these may change precipitously,1.0,sepsis pediatric/protocol/•#3,Monitor and maintain airway and breathing as these may change precipitously,,,
S022,T1_id_exact,12.2258,surgical cricothyrotomy/protocol/1,Surgical Cricothyrotomy,protocol,1,Guideline for a Surgical Cricothyrotomy Program Surgical Cricothyrotomy is an invasive procedure performed only when a patient is in imminent danger of death due to airway compromise which cannot be alleviated by other means. Needle cricothyrotomy is the preferred procedure in children under the age of 12 years old.,1.0,surgical cricothyrotomy/protocol/1,Guideline for a Surgical Cricothyrotomy Program Surgical Cricothyrotomy is an invasive procedure performed only when a patient is in imminent danger of death due to airway compromise which cannot be alleviated by other means. Needle cricothyrotomy is the preferred procedure in children under the age of 12 years old.,,,
