sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,39.6667,quantitative waveform capnography/protocol/•#2,Quantitative Waveform Capnography,protocol,•,Monitoring of patients in significant respiratory distress,1.0,quantitative waveform capnography/protocol/•#2,Monitoring of patients in significant respiratory distress,,,
S002,T1_id_exact,39.6667,asthma/bronchiolitis/croup pediatric/protocol/o.•#5,Asthma/Bronchiolitis/Croup – Pediatric,protocol,o.•,"Transport the patient in an upright position and limit your assessment and interventions Please see Appendix 4 for 2.5A UPDATES RELATING TO COVID-19 Child with a ""silent chest"" may have severe bronchospasm with impending respiratory failure. PEARLS: For suspected Epiglottitis: Bronchiolitis:",1.0,asthma/bronchiolitis/croup pediatric/protocol/o.•#5,"Transport the patient in an upright position and limit your assessment and interventions Please see Appendix 4 for 2.5A UPDATES RELATING TO COVID-19 Child with a ""silent chest"" may have severe bronchospasm with impending respiratory failure. PEARLS: For suspected Epiglottitis: Bronchiolitis:",,,
S003,T1_id_exact,39.6667,pelvic fracture stabilization/protocol/•.1,Pelvic Fracture Stabilization,protocol,•.1,"With patient in supine position, remove his or her clothing.",1.0,pelvic fracture stabilization/protocol/•.1,"With patient in supine position, remove his or her clothing.",,,
S004,T1_id_exact,39.6667,tachycardia pediatric/protocol/o,Tachycardia – Pediatric,protocol,o,Adenosine 0.1 mg/kg IV/IO not to exceed 6 mg (first dose). Repeat once at 0.2 mg/kg not to exceed 12 mg (subsequent dose).,1.0,tachycardia pediatric/protocol/o,Adenosine 0.1 mg/kg IV/IO not to exceed 6 mg (first dose). Repeat once at 0.2 mg/kg not to exceed 12 mg (subsequent dose).,,,
S005,T1_id_exact,39.6667,poisoning/overdose/substance use disorder pediatric/protocol/•#28,Poisoning/Overdose/Substance Use Disorder – Pediatric,protocol,•,Airway management should remain paramount.,1.0,poisoning/overdose/substance use disorder pediatric/protocol/•#28,Airway management should remain paramount.,,,
S006,T1_id_exact,39.6667,new transcutaneous pacing - adult and pediatric/protocol/8.•.o#3,NEW Transcutaneous Pacing - Adult and Pediatric,protocol,8.•.o,Toxin or medication overdose,1.0,new transcutaneous pacing - adult and pediatric/protocol/8.•.o#3,Toxin or medication overdose,,,
S007,T1_id_exact,39.6667,emergency incident rehabilitation/protocol/a.3,Emergency Incident Rehabilitation,protocol,a.3,Establishing the Rehabilitation Sector: MAY NOT BE altered or modified without prior approval. 6.22,1.0,emergency incident rehabilitation/protocol/a.3,Establishing the Rehabilitation Sector: MAY NOT BE altered or modified without prior approval. 6.22,,,
S008,T1_id_exact,39.6667,radiation injuries mci/protocol/•#8,Radiation Injuries – MCI,protocol,•,Consider Air Medical Transport after proven definitive decontamination of patient.,1.0,radiation injuries mci/protocol/•#8,Consider Air Medical Transport after proven definitive decontamination of patient.,,,
S009,T1_id_exact,39.6667,emergency incident rehabilitation/protocol/b#4,Emergency Incident Rehabilitation,protocol,b,"Rotation of Personnel/Accountability: Working units will be assigned to the Rehab Sector by the IC or his designee (e.g., Operations Officer). When possible, the entire unit should be assigned to the Rehab Sector as a group. The crew designation, names of members, times of entry and exit, and appropriate medical information should be documented by the Rehab Officer or designee on a PCR form or similar document.  Personnel rotated to the Rehab Sector should not leave until directed by the RO.  If any member requires transport to a medical facility, the IC shall be notified immediately.",1.0,emergency incident rehabilitation/protocol/b#4,"Rotation of Personnel/Accountability: Working units will be assigned to the Rehab Sector by the IC or his designee (e.g., Operations Officer). When possible, the entire unit should be assigned to the Rehab Sector as a group. The crew designation, names of members, times of entry and exit, and appropriate medical information should be documented by the Rehab Officer or designee on a PCR form or similar document.  Personnel rotated to the Rehab Sector should not leave until directed by the RO.  If any member requires transport to a medical facility, the IC shall be notified immediately.",,,
S010,T1_id_exact,39.6667,appendix 4 covid-19 updates/protocol/o,Appendix 4:   COVID-19 Updates,protocol,o,"A surgical mask is acceptable when not performing aerosol generating procedures and there is a shortage of N-95 respirators. MAY NOT BE altered or modified without prior approval. Patient at Risk for COVID-19 When treating a patient who may be at risk for COVID-19, minimize the number of responders making patient contact and providing direct care as needed. Consider limiting the initial number of personnel entering the scene (area of patient contact) to one unless the situation dictates more (e.g. cardiac arrest). When first responders and the transporting ambulance arrive at the same time, the patient contact should be made by a transporting crew member unless the first responder is of a higher certification. Additional personnel should only enter when needed for care or extrication as requested by the primary responder. Screen all patients for COVID-19 (observing 6 feet separation during initial phase), use appropriate PPE, and place a surgical mask on any patient who screens positive for COVID-19 symptoms. Patient care should never be delayed if imminent risk cannot be ruled out and/or life-saving care is needed that can be provided by the first responder (CPR, hemorrhage control, etc.). If a patient at risk for COVID-19 is refusing transport (and for this subset of EMS patients only) EMS may dispense with obtaining a signature as part of an informed patient refusal. In these cases, document the patient’s verbal informed refusal (and any witnesses present) to avoid unnecessary close contact with the patient. Urge these patients to contact their local public health authority and primary care for further guidance. If COVID-19 is suspected, EMS providers should use all personal protective equipment (PPE), as follows: Eye protection (i.e., goggles or disposable face shield that fully covers the front and sides of the face). N-95 respirators or respirators that offer a higher level of protection should be used when performing or present for an aerosol-generating procedure. Facemask Personal eyeglasses and contact lenses are NOT considered adequate eye protection.",1.0,appendix 4 covid-19 updates/protocol/o,"A surgical mask is acceptable when not performing aerosol generating procedures and there is a shortage of N-95 respirators. MAY NOT BE altered or modified without prior approval. Patient at Risk for COVID-19 When treating a patient who may be at risk for COVID-19, minimize the number of responders making patient contact and providing direct care as needed. Consider limiting the initial number of personnel entering the scene (area of patient contact) to one unless the situation dictates more (e.g. cardiac arrest). When first responders and the transporting ambulance arrive at the same time, the patient contact should be made by a transporting crew member unless the first responder is of a higher certification. Additional personnel should only enter when needed for care or extrication as requested by the primary responder. Screen all patients for COVID-19 (observing 6 feet separation during initial phase), use appropriate PPE, and place a surgical mask on any patient who screens positive for COVID-19 symptoms. Patient care should never be delayed if imminent risk cannot be ruled out and/or life-saving care is needed that can be provided by the first responder (CPR, hemorrhage control, etc.). If a patient at risk for COVID-19 is refusing transport (and for this subset of EMS patients only) EMS may dispense with obtaining a signature as part of an informed patient refusal. In these cases, document the patient’s verbal informed refusal (and any witnesses present) to avoid unnecessary close contact with the patient. Urge these patients to contact their local public health authority and primary care for further guidance. If COVID-19 is suspected, EMS providers should use all personal protective equipment (PPE), as follows: Eye protection (i.e., goggles or disposable face shield that fully covers the front and sides of the face). N-95 respirators or respirators that offer a higher level of protection should be used when performing or present for an aerosol-generating procedure. Facemask Personal eyeglasses and contact lenses are NOT considered adequate eye protection.",,,
