sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,64.8125,abuse and neglect of children and the elderly/protocol/•#31,Abuse and Neglect of Children and the Elderly,protocol,•,Responsibility for reporting child abuse and protection from liability for such reporting is established by the CT General Statutes 17a -101.,1.0,abuse and neglect of children and the elderly/protocol/•#31,Responsibility for reporting child abuse and protection from liability for such reporting is established by the CT General Statutes 17a -101.,,,
S002,T1_id_exact,64.8125,exertional heat stroke/protocol/5,Exertional Heat Stroke,protocol,5,"If TREC is at or above 40°C (104°F), initiate immediate rapid cooling to a temperature less than 40°C within 30 minutes of collapse.  The recommended minimum cooling rate is 0.15°C per minute.",1.0,exertional heat stroke/protocol/5,"If TREC is at or above 40°C (104°F), initiate immediate rapid cooling to a temperature less than 40°C within 30 minutes of collapse.  The recommended minimum cooling rate is 0.15°C per minute.",,,
S003,T1_id_exact,64.8125,ventricular assist device vad/protocol/•.o#3,Ventricular Assist Device (VAD),protocol,•.o,Arrhythmias,1.0,ventricular assist device vad/protocol/•.o#3,Arrhythmias,,,
S004,T1_id_exact,64.8125,cpap/protocol/8,CPAP,protocol,8,Reassure anxious patient.,1.0,cpap/protocol/8,Reassure anxious patient.,,,
S005,T1_id_exact,64.8125,prehospital blood product transfusion/protocol/2,Prehospital Blood Product Transfusion,protocol,2,Attempt to obtain informed consent for blood product transfusion. - “I am going to give you blood to help save your life. Is this ok?” Utilize implied consent if unconscious or otherwise unable to provide informed consent.,1.0,prehospital blood product transfusion/protocol/2,Attempt to obtain informed consent for blood product transfusion. - “I am going to give you blood to help save your life. Is this ok?” Utilize implied consent if unconscious or otherwise unable to provide informed consent.,,,
S006,T1_id_exact,64.8125,appendix 4 covid-19 updates/protocol/o.•,Appendix 4:   COVID-19 Updates,protocol,o.•,A modified protocol will be utilized during the COVID-19 State of Emergency to limit the use of aerosol- generating procedures (AGPs) such as nebulizers and CPAP/Bi-Level PAP.   This is due to the associated higher risk of disease transmission to personnel in the immediate area of AGPs.,1.0,appendix 4 covid-19 updates/protocol/o.•,A modified protocol will be utilized during the COVID-19 State of Emergency to limit the use of aerosol- generating procedures (AGPs) such as nebulizers and CPAP/Bi-Level PAP.   This is due to the associated higher risk of disease transmission to personnel in the immediate area of AGPs.,,,
S007,T1_id_exact,64.8125,central line access/protocol/2#8,Central Line Access,protocol,2,Provide harm reduction information.,1.0,central line access/protocol/2#8,Provide harm reduction information.,,,
S008,T1_id_exact,64.8125,airway management pediatric/protocol/o,Airway Management Pediatric,protocol,o,Open Airway Consider patient positioning by placing padding under shoulders to ensure sternal notch and ear are at the same level.,1.0,airway management pediatric/protocol/o,Open Airway Consider patient positioning by placing padding under shoulders to ensure sternal notch and ear are at the same level.,,,
S009,T1_id_exact,64.8125,appendix 3a termination of resuscitation checklist/protocol/•#4,Appendix 3A  Termination of Resuscitation Checklist,protocol,•,A valid DNR or MOLST order for the patient is identified,1.0,appendix 3a termination of resuscitation checklist/protocol/•#4,A valid DNR or MOLST order for the patient is identified,,,
S010,T1_id_exact,64.8125,restraints/protocol/4.-.,Restraints,protocol,4.-.,", @ ReQuires J)tiarmacological AGITATED WITH DANGER @Unable to interact @Poses an IMMEDIATE threat to self or others @Requires rapid sedation ♦ Patients who receive high-dose sedative or dissociative-dose ketamine require continuous airway and hemodynamic monitoring including waveform end-tidal capnography ♦ Adjust doses based on patient size and clinical judgment 6.16 MAY NOT BE altered or modified without prior approval.",1.0,restraints/protocol/4.-.,", @ ReQuires J)tiarmacological AGITATED WITH DANGER @Unable to interact @Poses an IMMEDIATE threat to self or others @Requires rapid sedation ♦ Patients who receive high-dose sedative or dissociative-dose ketamine require continuous airway and hemodynamic monitoring including waveform end-tidal capnography ♦ Adjust doses based on patient size and clinical judgment 6.16 MAY NOT BE altered or modified without prior approval.",,,
