sample_id,old_item_id,is_bullet_kind,sample_weight,v1_tier,v1_predicted_item_id,v2_tier,v2_predicted_item_id,v2_fix_overrode,b2_predicted_item_id
S001,hypothermia/notes/o,True,1.0,T1_id_exact,hypothermia/notes/o,T1_id_exact,hypothermia/notes/o,False,hypothermia/notes/o
S002,hypothermia/notes/o#2,True,1.0,T1_id_exact,hypothermia/notes/o#2,T1_id_exact,hypothermia/notes/o#2,False,hypothermia/notes/o#2
S003,hypothermia/notes/o#3,True,1.0,T1_id_exact,hypothermia/notes/o#3,T1_id_exact,hypothermia/notes/o#3,False,hypothermia/notes/o#3
S004,hypothermia/notes/o#4,True,1.0,T1_id_exact,hypothermia/notes/o#4,T1_id_exact,hypothermia/notes/o#4,False,hypothermia/notes/o#4
S005,hypothermia/notes/o#5,True,1.0,T1_id_exact,hypothermia/notes/o#5,T1_id_exact,hypothermia/notes/o#5,False,hypothermia/notes/o#5
S006,adult trauma arrest blunt/treatment pathway/o,True,1.0,T1_id_exact,adult trauma arrest blunt/treatment pathway/o,T1_id_exact,adult trauma arrest blunt/treatment pathway/o,False,adult trauma arrest blunt/treatment pathway/o
S007,adult trauma arrest blunt/treatment pathway/o#2,True,1.0,T1_id_exact,adult trauma arrest blunt/treatment pathway/o#2,T1_id_exact,adult trauma arrest blunt/treatment pathway/o#2,False,adult trauma arrest blunt/treatment pathway/o#2
S008,adult trauma arrest blunt/treatment pathway/o#3,True,1.0,T1_id_exact,adult trauma arrest blunt/treatment pathway/o#3,T1_id_exact,adult trauma arrest blunt/treatment pathway/o#3,False,adult trauma arrest blunt/treatment pathway/o#3
S009,adult trauma arrest penetrating/treatment pathway/o,True,1.0,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o,False,adult trauma arrest penetrating/treatment pathway/o
S010,adult trauma arrest penetrating/treatment pathway/o#2,True,1.0,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#2,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#2,False,adult trauma arrest penetrating/treatment pathway/o#2
S011,adult trauma arrest penetrating/treatment pathway/o#3,True,1.0,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#3,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#3,False,adult trauma arrest penetrating/treatment pathway/o#3
S012,adult trauma arrest penetrating/treatment pathway/o#4,True,1.0,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#4,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#4,False,adult trauma arrest penetrating/treatment pathway/o#4
S013,adult trauma arrest penetrating/treatment pathway/o#5,True,1.0,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#5,T1_id_exact,adult trauma arrest penetrating/treatment pathway/o#5,False,adult trauma arrest penetrating/treatment pathway/o#5
S014,pre-eclampsia and eclampsia/miscellaneous/1.o,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o,False,pre-eclampsia and eclampsia/miscellaneous/1.o
S015,pre-eclampsia and eclampsia/miscellaneous/1.o#2,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#2,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#2,False,pre-eclampsia and eclampsia/miscellaneous/1.o#2
S016,pre-eclampsia and eclampsia/miscellaneous/1.o#3,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#3,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#3,False,pre-eclampsia and eclampsia/miscellaneous/1.o#3
S017,pre-eclampsia and eclampsia/miscellaneous/1.o#4,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#4,T1_id_exact,pre-eclampsia and eclampsia/miscellaneous/1.o#4,False,pre-eclampsia and eclampsia/miscellaneous/1.o#4
S018,pre-eclampsia and eclampsia/treatment and interventions/11.o,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/treatment and interventions/11.o,T1_id_exact,pre-eclampsia and eclampsia/treatment and interventions/11.o,False,pre-eclampsia and eclampsia/treatment and interventions/11.o
S019,pre-eclampsia and eclampsia/treatment and interventions/11.o#2,True,1.0,T1_id_exact,pre-eclampsia and eclampsia/treatment and interventions/11.o#2,T1_id_exact,pre-eclampsia and eclampsia/treatment and interventions/11.o#2,False,pre-eclampsia and eclampsia/treatment and interventions/11.o#2
S020,pre-eclampsia and eclampsia/treatment and interventions/11.o#3,True,1.0,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/11.o#3,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/11.o#3,False,pre-eclampsia and eclampsia/treatment and interventions/11.o#3
S021,delirium with hyperagitation/contraindications/o,True,1.0,T1_id_exact,delirium with hyperagitation/contraindications/o,T1_id_exact,delirium with hyperagitation/contraindications/o,False,delirium with hyperagitation/contraindications/o
S022,delirium with hyperagitation/contraindications/o#2,True,1.0,T1_id_exact,delirium with hyperagitation/contraindications/o#2,T1_id_exact,delirium with hyperagitation/contraindications/o#2,False,delirium with hyperagitation/contraindications/o#2
S023,delirium with hyperagitation/contraindications/o#3,True,1.0,T1_id_exact,delirium with hyperagitation/contraindications/o#3,T1_id_exact,delirium with hyperagitation/contraindications/o#3,False,delirium with hyperagitation/contraindications/o#3
S024,delirium with hyperagitation/contraindications/o#4,True,1.0,T1_id_exact,delirium with hyperagitation/contraindications/o#4,T1_id_exact,delirium with hyperagitation/contraindications/o#4,False,delirium with hyperagitation/contraindications/o#4
S025,delirium with hyperagitation/indications/o,True,1.0,T1_id_exact,delirium with hyperagitation/indications/o,T1_id_exact,delirium with hyperagitation/indications/o,False,delirium with hyperagitation/indications/o
S026,delirium with hyperagitation/indications/o#2,True,1.0,T1_id_exact,delirium with hyperagitation/indications/o#2,T1_id_exact,delirium with hyperagitation/indications/o#2,False,delirium with hyperagitation/indications/o#2
S027,delirium with hyperagitation/indications/o#3,True,1.0,T1_id_exact,delirium with hyperagitation/indications/o#3,T1_id_exact,delirium with hyperagitation/indications/o#3,False,delirium with hyperagitation/indications/o#3
S028,delirium with hyperagitation/notes/o,True,1.0,T1_id_exact,delirium with hyperagitation/notes/o,T1_id_exact,delirium with hyperagitation/notes/o,False,delirium with hyperagitation/notes/o
S029,delirium with hyperagitation/notes/o#2,True,1.0,T1_id_exact,delirium with hyperagitation/notes/o#2,T1_id_exact,delirium with hyperagitation/notes/o#2,False,delirium with hyperagitation/notes/o#2
S030,delirium with hyperagitation/notes/o#3,True,1.0,T1_id_exact,delirium with hyperagitation/notes/o#3,T1_id_exact,delirium with hyperagitation/notes/o#3,False,delirium with hyperagitation/notes/o#3
S031,delirium with hyperagitation/notes/o#4,True,1.0,T2_id_text_changed,delirium with hyperagitation/notes/o#4,T2_id_text_changed,delirium with hyperagitation/notes/o#4,False,delirium with hyperagitation/notes/o#4
S032,post-intubation sedation/paramedic/-,True,1.0,T1_id_exact,post-intubation sedation/paramedic/-,T1_id_exact,post-intubation sedation/paramedic/-,False,post-intubation sedation/paramedic/-
S033,trauma - penetrating/aemt stop here/9,False,53.0667,T1_id_exact,trauma - penetrating/aemt stop here/9,T1_id_exact,trauma - penetrating/aemt stop here/9,False,trauma - penetrating/aemt stop here/9
S034,post resuscitation/emt stop here/13,False,53.0667,T1_id_exact,post resuscitation/emt stop here/13,T1_id_exact,post resuscitation/emt stop here/13,False,post resuscitation/emt stop here/13
S035,delirium with hyperagitation/procedure/7#5,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/7#5,T1_id_exact,delirium with hyperagitation/procedure/7#5,False,delirium with hyperagitation/procedure/7#5
S036,neonatal resuscitation/treatment pathway/6,False,53.0667,T1_id_exact,neonatal resuscitation/treatment pathway/6,T1_id_exact,neonatal resuscitation/treatment pathway/6,False,traumatic cardiac arrest/treatment pathway/3
S037,non-formulary medications/treatment pathway/6,False,53.0667,T1_id_exact,non-formulary medications/treatment pathway/6,T1_id_exact,non-formulary medications/treatment pathway/6,False,non-formulary medications/treatment pathway/6
S038,medications at schools/treatment pathway/3.c.v,False,53.0667,T1_id_exact,medications at schools/treatment pathway/3.c.v,T1_id_exact,medications at schools/treatment pathway/3.c.v,False,medications at schools/treatment pathway/3.c.v
S039,delirium with hyperagitation/procedure/6#2,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/6#2,T1_id_exact,delirium with hyperagitation/procedure/6#2,False,delirium with hyperagitation/procedure/6#2
S040,delirium with hyperagitation/paramedic only/3#4,False,53.0667,T1_id_exact,delirium with hyperagitation/paramedic only/3#4,T1_id_exact,delirium with hyperagitation/paramedic only/3#4,False,delirium with hyperagitation/paramedic only/3#4
S041,delirium with hyperagitation/procedure/2#11,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/2#11,T1_id_exact,delirium with hyperagitation/procedure/2#11,False,delirium with hyperagitation/procedure/2#11
S042,neurogenic shock/treatment pathway/1,False,53.0667,T1_id_exact,neurogenic shock/treatment pathway/1,T1_id_exact,neurogenic shock/treatment pathway/1,False,neurogenic shock/treatment pathway/1
S043,delirium with hyperagitation/procedure/12#3,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/12#3,T1_id_exact,delirium with hyperagitation/procedure/12#3,False,delirium with hyperagitation/procedure/12#3
S044,delirium with hyperagitation/procedure/2#6,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/2#6,T1_id_exact,delirium with hyperagitation/procedure/2#6,False,delirium with hyperagitation/procedure/2#6
S045,delirium with hyperagitation/treatment-standing order/2#4,False,53.0667,T1_id_exact,delirium with hyperagitation/treatment-standing order/2#4,T1_id_exact,delirium with hyperagitation/treatment-standing order/2#4,False,delirium with hyperagitation/treatment-standing order/2#4
S046,vascular access/reference/4#12,False,53.0667,T1_id_exact,vascular access/reference/4#12,T1_id_exact,vascular access/reference/4#12,False,vascular access/reference/4#12
S047,vascular access/reference/4#27,False,53.0667,T1_id_exact,vascular access/reference/4#27,T1_id_exact,vascular access/reference/4#27,False,vascular access/reference/4#27
S048,obstetrical / gynecological complaints non-delivery or gynecological only/treatment pathway/7,False,53.0667,T1_id_exact,obstetrical / gynecological complaints non-delivery or gynecological only/treatment pathway/7,T1_id_exact,obstetrical / gynecological complaints non-delivery or gynecological only/treatment pathway/7,False,obstetrical / gynecological complaints non-delivery or gynecological only/treatment pathway/7
S049,delirium with hyperagitation/procedure/1.a.ii,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/1.a.ii,T1_id_exact,delirium with hyperagitation/procedure/1.a.ii,False,delirium with hyperagitation/procedure/1.a.ii
S050,post-intubation sedation/paramedic only/8,False,53.0667,T1_id_exact,post-intubation sedation/paramedic only/8,T1_id_exact,post-intubation sedation/paramedic only/8,False,post-intubation sedation/paramedic only/8
S051,seizures/treatment pathway/12,False,53.0667,T1_id_exact,seizures/treatment pathway/12,T1_id_exact,seizures/treatment pathway/12,False,seizures/treatment pathway/12
S052,delirium with hyperagitation/treatment-standing order/1#8,False,53.0667,T1_id_exact,delirium with hyperagitation/treatment-standing order/1#8,T1_id_exact,delirium with hyperagitation/treatment-standing order/1#8,False,delirium with hyperagitation/treatment-standing order/1#8
S053,eye trauma/treatment – standing order/4.c,False,53.0667,T1_id_exact,eye trauma/treatment – standing order/4.c,T1_id_exact,eye trauma/treatment – standing order/4.c,False,eye trauma/treatment – standing order/4.c
S054,unconscious / unresponsive / altered mental status/treatment pathway/1,False,53.0667,T1_id_exact,unconscious / unresponsive / altered mental status/treatment pathway/1,T1_id_exact,unconscious / unresponsive / altered mental status/treatment pathway/1,False,unconscious / unresponsive / altered mental status/treatment pathway/1
S055,delirium with hyperagitation/procedure/2#8,False,53.0667,T1_id_exact,delirium with hyperagitation/procedure/2#8,T1_id_exact,delirium with hyperagitation/procedure/2#8,False,delirium with hyperagitation/procedure/2#8
