sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S001,quantitative waveform capnography/protocol/•#2,Quantitative Waveform Capnography,protocol,•,Monitoring of patients in significant respiratory distress,,,
S002,asthma/bronchiolitis/croup pediatric/protocol/o.•#5,Asthma/Bronchiolitis/Croup – Pediatric,protocol,o.•,"Transport the patient in an upright position and limit your assessment and interventions Please see Appendix 4 for 2.5A UPDATES RELATING TO COVID-19 Child with a ""silent chest"" may have severe bronchospasm with impending respiratory failure. PEARLS: For suspected Epiglottitis: Bronchiolitis:",,,
S003,pelvic fracture stabilization/protocol/•.1,Pelvic Fracture Stabilization,protocol,•.1,"With patient in supine position, remove his or her clothing.",,,
S004,tachycardia pediatric/protocol/o,Tachycardia – Pediatric,protocol,o,Adenosine 0.1 mg/kg IV/IO not to exceed 6 mg (first dose). Repeat once at 0.2 mg/kg not to exceed 12 mg (subsequent dose).,,,
S005,poisoning/overdose/substance use disorder pediatric/protocol/•#28,Poisoning/Overdose/Substance Use Disorder – Pediatric,protocol,•,Airway management should remain paramount.,,,
S006,new transcutaneous pacing - adult and pediatric/protocol/8.•.o#3,NEW Transcutaneous Pacing - Adult and Pediatric,protocol,8.•.o,Toxin or medication overdose,,,
S007,emergency incident rehabilitation/protocol/a.3,Emergency Incident Rehabilitation,protocol,a.3,Establishing the Rehabilitation Sector: MAY NOT BE altered or modified without prior approval. 6.22,,,
S008,radiation injuries mci/protocol/•#8,Radiation Injuries – MCI,protocol,•,Consider Air Medical Transport after proven definitive decontamination of patient.,,,
S009,emergency incident rehabilitation/protocol/b#4,Emergency Incident Rehabilitation,protocol,b,"Rotation of Personnel/Accountability: Working units will be assigned to the Rehab Sector by the IC or his designee (e.g., Operations Officer). When possible, the entire unit should be assigned to the Rehab Sector as a group. The crew designation, names of members, times of entry and exit, and appropriate medical information should be documented by the Rehab Officer or designee on a PCR form or similar document.  Personnel rotated to the Rehab Sector should not leave until directed by the RO.  If any member requires transport to a medical facility, the IC shall be notified immediately.",,,
S010,appendix 4 covid-19 updates/protocol/o,Appendix 4:   COVID-19 Updates,protocol,o,"A surgical mask is acceptable when not performing aerosol generating procedures and there is a shortage of N-95 respirators. MAY NOT BE altered or modified without prior approval. Patient at Risk for COVID-19 When treating a patient who may be at risk for COVID-19, minimize the number of responders making patient contact and providing direct care as needed. Consider limiting the initial number of personnel entering the scene (area of patient contact) to one unless the situation dictates more (e.g. cardiac arrest). When first responders and the transporting ambulance arrive at the same time, the patient contact should be made by a transporting crew member unless the first responder is of a higher certification. Additional personnel should only enter when needed for care or extrication as requested by the primary responder. Screen all patients for COVID-19 (observing 6 feet separation during initial phase), use appropriate PPE, and place a surgical mask on any patient who screens positive for COVID-19 symptoms. Patient care should never be delayed if imminent risk cannot be ruled out and/or life-saving care is needed that can be provided by the first responder (CPR, hemorrhage control, etc.). If a patient at risk for COVID-19 is refusing transport (and for this subset of EMS patients only) EMS may dispense with obtaining a signature as part of an informed patient refusal. In these cases, document the patient’s verbal informed refusal (and any witnesses present) to avoid unnecessary close contact with the patient. Urge these patients to contact their local public health authority and primary care for further guidance. If COVID-19 is suspected, EMS providers should use all personal protective equipment (PPE), as follows: Eye protection (i.e., goggles or disposable face shield that fully covers the front and sides of the face). N-95 respirators or respirators that offer a higher level of protection should be used when performing or present for an aerosol-generating procedure. Facemask Personal eyeglasses and contact lenses are NOT considered adequate eye protection.",,,
S011,appendix 3a termination of resuscitation checklist/protocol/•.o#4,Appendix 3A  Termination of Resuscitation Checklist,protocol,•.o,Absence of heart sounds,,,
S012,12-lead ecg acquisition/protocol/8,12-Lead ECG Acquisition,protocol,8,"If 12 lead ECG indicates a STEMI (e. g. ECG identifies ***Acute MI Suspected*** and/or Paramedic interpretation), transmit ECG and notify the receiving hospital of a “STEMI Alert and transport patient to the most appropriate facility in accordance with local STEMI guidelines/agreements.",,,
S013,tachycardia adult/protocol/o,Tachycardia – Adult,protocol,o,"Midazolam 2.5 mg IV/IO/IN, may repeat once in 5 minutes or; 5 mg IM may repeat once in 10 minutes, OR",,,
S014,new transcutaneous pacing - adult and pediatric/protocol/1,NEW Transcutaneous Pacing - Adult and Pediatric,protocol,1,Explain procedure to patient (if applicable),,,
S015,ventricular assist device vad/protocol/•.o#3,Ventricular Assist Device (VAD),protocol,•.o,Arrhythmias,,,
S016,new central line access/protocol/2#7,NEW Central Line Access,protocol,2,Landmark insertion site and determine correct needle length,,,
S017,appendix 3a termination of resuscitation checklist/protocol/•,Appendix 3A  Termination of Resuscitation Checklist,protocol,•,The physical environment becomes unsafe for providers,,,
S018,appendix 4 covid-19 updates/protocol/o.•#17,Appendix 4:   COVID-19 Updates,protocol,o.•,"Dexamethasone 0.6 mg/kg PO/IM/IV (PO preferred), maximum 10 mg OR",,,
S019,pain management adult/protocol/o#15,Pain Management – Adult,protocol,o,"Considering co-administration of a benzodiazepine with an opioid 2.19A MAY NOT BE altered or modified without prior approval. Ketorolac and ibuprofen are contraindicated in pregnancy, renal insufficiency, peptic ulcer or in any patient with potential for bleeding/likely to need surgery.  Avoid use in suspected fractures or undifferentiated abdominal pain. Acetaminophen is contraindicated in patients with liver failure. Do not exceed total 1 gram in 4 hours. Medications should be administered cautiously to the frail, debilitated, or patients over 65 years of age; administer reduced doses of opioids and/or ketamine to this population. Continuous cardiac and ETCO2 monitoring (if available) should always be utilized in patients receiving opioids or ketamine. Closely monitor for sedation.  Use caution for altered mental status, hypoventilation, hypotension, ETOH intoxication or allergy. Avoid Ketamine for analgesia if known cocaine use due to increased risk of cardiovascular toxicity. If patient condition/circumstances allow, ask patient if he or she has a ""non-opioid directive"".  If so, discuss treatment options.  Unless patient, guardian or health care proxy revokes this directive, do not administer opioids. PEARLS: Opioids are preferred for acute, severely painful conditions and end-of-life palliative care.  Ketamine, IV acetaminophen and ketorolac are alternatives/adjuncts in such cases when opioids are undesirable or ineffective. Consider treating mild to moderate pain (rated 0-5) with non-opioid options if appropriate for patient condition and not contraindicated. The pain score initiates a conversation with the patient to better understand his or her current level of pain. This information should then be used to guide management decisions. Consider alternatives to opioids for chronic pain. Opioids may still be appropriate for chronic pain such as vaso-occlusive/sickle-cell crisis, special care plans, acute exacerbation of chronic pain, etc. Consider lower doses of opioid when co-administered with ketamine, acetaminophen and/or NSAID. Use of oral analgesics should be limited to mild/moderate pain. Regularly reassess the patient’s pain level and vital signs. Opioids are not recommended for first line treatment of headache and should be reserved for severe headaches only. Consider diluting naloxone in syringe or bag of IV fluid to facilitate titration. If available, fentanyl is the preferred analgesic in the pregnant patient.  Titrate cautiously.  Avoid maternal hypoventilation as resultant hypoxia may be harmful to the fetus. Accurately/effectively communicate EMS analgesic administration details to receiving medical staff. For nausea: see Nausea/Vomiting Protocol 2.14.  May administer one dose of anti-emetic prophylactically prior to opioid or ketamine. Opioid Antidote: For hypoventilation from opioid administration by EMS, first attempt tactile stimulation.  Assist ventilations.   Administer the lowest dose of naloxone to maintain oxygenation. If ventilation is effective, start with naloxone 0.04 mg IV/IO or ≤0.5 mg IM/IN. Titrate naloxone doses up to 2.0 mg (max total of 10 mg) as needed. Contact Direct Medical Oversight for direction if:",,,
S020,tachycardia adult/protocol/o#5,Tachycardia – Adult,protocol,o,"If vagal maneuvers fail and the rhythm is regular, consider: Irregular tachycardia or regular tachycardia persisting after adenosine, consider: PEARLS: Consider and treat potential underlying causes (e.g. hypoxemia, dehydration, fever). Wide complex tachycardia should be considered Ventricular Tachycardia until proven otherwise. It's preferred but not required to administer same class rate control agent patient is prescribed. Afib with WPW may present as an irregularly irregular rhythm with wide but variable QRS width Signs and symptoms of hemodynamic instability:",,,
S021,tachycardia pediatric/protocol/o#7,Tachycardia – Pediatric,protocol,o,Hypotension,,,
S022,cardiac arrest pediatric/protocol/•#9,Cardiac Arrest – Pediatric,protocol,•,"Monitor quantitative waveform capnography, throughout resuscitation to assess and monitor airway placement, CPR quality, and to monitor for signs of Return of Spontaneous Circulation (ROSC).",,,
S023,airway management pediatric/protocol/o#5,Airway Management Pediatric,protocol,o,"Administer oxygen for oxygen saturation < 94% or shortness of breath; observe for fatigue, decreased mentation, and respiratory failure.",,,
S024,tracheostomy care/protocol/o,Tracheostomy Care,protocol,o,Pre-oxygenate when possible for 30-60 seconds.,,,
S025,refusal of care/protocol/3#3,Refusal of Care,protocol,3,Intoxicated patients,,,
S026,appendix 4 covid-19 updates/protocol/o.•#20,Appendix 4:   COVID-19 Updates,protocol,o.•,Chest pain,,,
S027,smoke inhalation adult/protocol/o#2,Smoke Inhalation – Adult,protocol,o,Rock vial for at least 60 seconds (do not shake).,,,
S028,routine patient care/protocol/o#8,Routine Patient Care,protocol,o,"If breathing is adequate, administer oxygen as needed to maintain O2 saturation of 94% to 99% (≥90% for COPD patients) Both skin signs and pulse oximetry are important in assessing potential hypoxia.",,,
S029,12-lead ecg acquisition/protocol/2,12-Lead ECG Acquisition,protocol,2,Properly position the patient (supine or semi-reclined).,,,
S030,tachycardia adult/protocol/o#4,Tachycardia – Adult,protocol,o,"Attempt vagal maneuvers, modified valsalva maneuver preferred  Do NOT perform carotid sinus massage",,,
S031,routine patient care/protocol/o#23,Routine Patient Care,protocol,o,For adult patients with suspected dehydration without shock administer IV fluids as indicated in increments of 250 mL.,,,
S032,appendix 2 ct pediatric color coded medication reference/protocol/-#21,Appendix 2:   CT Pediatric Color Coded Medication Reference,protocol,-,"Infusion 2 drops 17 mEq Proparacaine Sodium Bicarbonate Tetracaine 2 drops 0.4-2 micrograms/min 0.6 mg 4 mg 200 mg 80 mg/hr 2 drops 8 mEq 2 drops 0.7-3.3 micrograms/min 0.975 mg 4 mg 325 mg 130 mg/hr 2 drops 13 mEq 2 drops 0.9-4.3 micrograms/min 1.275 mg 4 mg 425 mg 210 mg/hr 0.4-2 micrograms/min 6.5 micrograms 0.9-4.3 micrograms/min 1 tube Vital Signs Heart Rate:   120-125 Respirations: 24-48 BP Systolic:  85 (+/-25) Equipment Cuffed ET Tube: 3.0 Uncuffed ET Tube: 3.5 Blade Size: 1 Defibrillation Defibrillation:   10 J, 20 J, 30 J, 50 J Cardioversion: 2 J,  5 J Normal Saline    130 ml Appendix 2 Green (3-4 yrs) Yellow (19-35 Months) Length 84.5-97.5 cm Length 97.5-110 cm 74-84.5 cm Length Purple (11-18 Months) CT Pediatric Color Coded Medication Reference Weight 10-11 Kg (Avg 10.5 Kg) Vital Signs Heart Rate:   115-120 Respirations: 22-30 BP Systolic:  96 (+/-30) Equipment Cuffed ET Tube: 3.5 Uncuffed ET Tube: 4.0 Blade Size: 1 Defibrillation Defibrillation:   20 J, 40 J, 60 J, 80 J Cardioversion: 5 J, 10 J Normal Saline    210 ml Acetaminophen 157.5 mg Adenosine: 1st Dose- 1.05 mg Repeat Dose- 2.1 mg Albuterol 2.5 mg 52.5 mg 0.17 mg 0.52 mg 210 mg 50 ml 1.05 mg 10.5 mg Amiodarone Atropine- Bradycardia",,,
S033,allergic reaction/anaphylaxis - adult/protocol/o#8,Allergic Reaction/Anaphylaxis - Adult,protocol,o,"May alternately administer epinephrine 0.3 mg via syringe if Sponsor Hospital trained, authorized and approved Routine Patient Care. For anaphylaxis, administer:",,,
S034,appendix 1 ct adult medication reference/protocol/•#22,Appendix 1:   CT Adult Medication Reference,protocol,•,"2 mg IV/IO, may repeat once in 5 minutes Traumatic Brain Injury",,,
